,nodos,aristas,numero nodos,numero aristas,densidad,grado maximo,regular,Euleriano,bipartita,bipartita completa,bipartita completa balanceada,arbol,vertex cover number,matching number,numero ciclos,numero ciclos pares,numero ciclos impares,numero ciclos base,numero ciclos pares base,numero ciclos impares base,singular,espectro adj,energias vertice,randic,mejor randic,energia
816,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 4), (0, 5), (1, 2), (1, 5), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,59,29,30,7,3,4,True,"[ 3.90914511 -2.78957836  0.85799566 -1.33899826 -0.63856414  0.
  0.        ]","[1.30178448 1.31051389 1.30178448 1.28781773 1.28781773 1.91064421
 1.13391905]",3.4370831311232513,3.5,9.534281533813154
817,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 6), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,59,28,31,7,2,5,True,"[ 3.94338091 -2.55247461 -1.3909063   1.         -1.         -0.
 -0.        ]","[1.05911746 1.28672464 1.65610642 1.65610642 1.25674151 1.25674151
 1.71522387]",3.4462535166702435,3.5,9.886761825125237
818,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 6), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,5,3,53,24,29,7,1,6,False,"[ 3.93295372  1.38731063  0.13671821 -2.28220066 -1.17478191 -1.
 -1.        ]","[1.31728896 1.43966061 1.63962529 1.63962529 1.63962529 1.41199394
 1.82614574]",3.4421704740726127,3.5000000000000004,10.913965124259043
819,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 4), (0, 5), (0, 6), (1, 2), (2, 3), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,4,False,True,False,False,False,False,4,3,63,30,33,7,2,5,True,"[ 3.8511075  -2.53602996 -1.61803399 -1.0762025   0.61803399  0.76112496
 -0.        ]","[1.64114135 1.18070253 1.64114135 1.68540154 1.68540154 1.3133723
 1.3133723 ]",3.4571067811865475,3.5,10.460532909646949
820,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 2), (0, 4), (0, 6), (1, 2), (2, 3), (2, 5), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,4,False,True,False,False,False,False,5,3,60,29,31,7,1,6,False,"[ 3.85577251 -2.41421356  1.32163717  0.41421356 -1.17740968 -1.
 -1.        ]","[1.66751729 1.32846467 1.66751729 1.62993681 1.62993681 1.62993681
 1.62993681]",3.4571067811865475,3.5000000000000004,11.183246486544757
821,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 4), (1, 2), (1, 3), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (5, 6)]",7,13,0.6190476190476191,6,False,False,False,False,False,False,4,3,44,20,24,7,0,7,True,"[ 3.96182043  1.28156098 -2.27221067 -1.51278647 -0.45838426 -0.
 -1.        ]","[1.46319205 1.09573564 1.7804128  2.16022865 1.09573564 1.44572901
 1.44572901]",3.3938810468012783,3.5,10.486762807947676
822,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 4), (0, 5), (1, 2), (1, 5), (2, 3), (2, 5), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,6,False,False,False,False,False,False,4,3,51,23,28,7,0,7,False,"[ 3.92107242  1.19017528  0.61803399 -0.77869497 -1.82336579 -1.61803399
 -1.50918695]","[1.44411269 1.54440059 1.44411269 1.70024289 1.70024289 2.19632582
 1.42912581]",3.422424537091845,3.5,11.45856338044842
823,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 6), (3, 4), (4, 5), (5, 6)]",7,13,0.6190476190476191,6,False,False,False,False,False,False,4,3,53,25,28,7,0,7,True,"[ 3.90863828 -2.22735671 -0.          0.78393837 -1.46521995  0.61803399
 -1.61803399]","[1.09267143 2.19605904 1.09267143 1.66269425 1.45721545 1.45721545
 1.66269425]",3.4164414729481383,3.5,10.62122128675836
824,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 5), (4, 6)]",7,13,0.6190476190476191,6,False,False,False,False,False,False,4,3,52,23,29,7,2,5,False,"[ 3.91728599 -1.59773519 -0.3195508  -2.41421356 -1.          0.41421356
  1.        ]","[2.18295377 1.45236411 1.45236411 1.39382928 1.39382928 1.39382928
 1.39382928]",3.4224245370918456,3.5,10.662999110933256
825,"[0, 1, 2, 3, 4, 5, 6]","[(0, 3), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (3, 4), (3, 5), (3, 6), (5, 6)]",7,13,0.6190476190476191,6,False,False,False,False,False,False,5,3,39,18,21,7,0,7,False,"[ 3.91728599  1.73205081 -0.3195508  -1.         -1.73205081 -1.59773519
 -1.        ]","[1.47328859 1.61128274 1.47328859 2.18295377 1.47328859 1.61128274
 1.47328859]",3.4224245370918447,3.5000000000000004,11.298673601324822
826,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 4), (0, 6), (1, 2), (1, 4), (2, 3), (2, 5), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,56,26,30,7,1,6,False,"[ 3.88540491 -2.28497313  1.08356841 -1.66742121 -1.12856113  0.52937899
 -0.41739685]","[1.70161656 1.33229963 1.43008074 1.88417213 1.80103985 1.42333652
 1.42415921]",3.4404238698392167,3.5,10.996704628473777
827,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 4), (0, 6), (1, 2), (1, 5), (1, 6), (2, 3), (2, 5), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,54,24,30,7,0,7,False,"[ 3.87735204  1.2469796  -2.26676149 -1.80193774  0.26106286 -0.87165342
 -0.44504187]","[1.45272353 1.48169137 1.45272353 1.32383413 1.32383413 1.86799116
 1.86799116]",3.4404238698392167,3.5,10.770789019425875
828,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 3), (2, 5), (2, 6), (3, 4), (3, 6), (4, 5), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,56,26,30,7,1,6,True,"[ 3.86066863 -2.4717991  -1.9195846   0.94698263 -0.60639654  0.
  0.19012898]","[1.08647107 1.08647107 1.42739136 1.27857541 1.48704071 1.84641069
 1.78320019]",3.430357763097879,3.5,9.995560479851942
829,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 3), (1, 5), (1, 6), (2, 3), (2, 5), (2, 6), (3, 4), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,58,30,28,7,2,5,True,"[ 3.88982191 -2.75086882 -1.20993884  0.89918849  0.17179726  0.
 -1.        ]","[1.44892313 1.03622394 1.03622394 1.29261866 1.46534897 1.82113835
 1.82113835]",3.4404238698392176,3.5,9.921615322940923
830,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 2), (0, 5), (1, 2), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,5,3,48,22,26,7,1,6,True,"[ 3.87806142  1.58343422 -1.69112552 -1.         -0.77037012 -2.
 -0.        ]","[1.49179234 1.49179234 1.77753234 1.33189087 1.72056018 1.77753234
 1.33189087]",3.4404238698392176,3.5,10.9229912937998
831,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 5), (0, 6), (1, 2), (1, 5), (1, 6), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,52,24,28,7,3,4,True,"[ 3.84152542 -2.6606725  -1.34484873  1.16399581 -1.          0.
  0.        ]","[1.10424348 1.75463921 1.10424348 1.47690957 1.47690957 1.54704856
 1.54704856]",3.4234883160002054,3.5,10.011042445882321
832,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 2), (0, 4), (0, 5), (0, 6), (1, 3), (1, 6), (2, 3), (2, 6), (3, 4), (3, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,3,3,58,42,16,7,3,4,True,"[ 3.84821708 -3.17554439 -1.          0.32732731  0.          0.
 -0.        ]","[1.78527048 0.85570784 0.85570782 1.35771654 0.85570782 0.85570782
 1.78527048]",3.4202916563565404,3.4641016151377557,8.351088774701001
833,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 2), (1, 5), (1, 6), (2, 3), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,59,27,32,7,1,6,True,"[ 3.81718247 -2.51752522  1.1651136  -1.58203623 -1.08992193  0.
  0.20718731]","[1.28483168 1.27086308 1.53295896 1.40100904 1.72130135 1.41964674
 1.74835592]",3.4598441364540267,3.5,10.378966766696287
834,"[0, 1, 2, 3, 4, 5, 6]","[(0, 2), (0, 3), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 5), (3, 4), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,62,28,34,7,2,5,False,"[ 3.82874425 -2.39651225 -1.88807071 -0.86110676 -0.23127739  0.91401214
  0.63421073]","[1.44199901 1.88898849 1.67505718 1.45282196 1.62767457 1.34887663
 1.31851638]",3.4639271790516575,3.5,10.753934229190355
835,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 4), (1, 2), (1, 4), (1, 5), (1, 6), (2, 3), (2, 5), (2, 6), (3, 4), (4, 5), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,5,3,57,27,30,7,1,6,False,"[ 3.83063362  1.44499253 -2.25828756  0.19199148 -0.44697909 -1.58906664
 -1.17328435]","[1.47135102 1.83707641 1.55978975 1.31975009 1.64028538 1.61889178
 1.48809083]",3.4639271790516575,3.5,10.935235249940153
836,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 3), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,61,31,30,7,2,5,True,"[ 3.80690951 -2.79426926 -1.57833318  0.90995976 -0.57280605  0.22853921
  0.        ]","[1.015502   1.015502   1.44096641 1.54587229 1.64678031 1.44087174
 1.7853222 ]",3.453861072310319,3.5,9.890816959704516
837,"[0, 1, 2, 3, 4, 5, 6]","[(0, 3), (0, 4), (0, 6), (1, 3), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,60,28,32,7,3,4,False,"[ 3.80269995 -2.3808442  -1.79930411 -1.         -0.34152345  1.
  0.71897181]","[1.4322841  1.40490339 1.4322841  1.7862738  1.58507067 1.70126372
 1.70126372]",3.4538610723103194,3.5,11.043343510387555
838,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (2, 3), (2, 6), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,63,30,33,7,2,5,True,"[ 3.82922559 -2.84193921 -1.52043785 -0.52842369  0.76098222  0.30059295
  0.        ]","[1.3931828  1.18428107 1.32694219 1.48965414 1.25810235 1.25810235
 1.87133661]",3.4639271790516575,3.5,9.781601513427027
839,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 3), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (3, 4), (3, 6), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,61,29,32,7,2,5,False,"[ 3.81445603 -2.33444323 -1.61803399 -1.50179207  0.84473403  0.61803399
  0.17704525]","[1.4301084  1.4301084  1.24750307 1.68474275 1.68474275 1.531522
 1.89981122]",3.45794411490795,3.5,10.908538580049147
840,"[0, 1, 2, 3, 4, 5, 6]","[(0, 2), (0, 5), (0, 6), (1, 2), (1, 4), (1, 6), (2, 3), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,4,3,63,29,34,7,2,5,True,"[ 3.8511075  -2.53602996  0.76112496  0.61803399  0.         -1.61803399
 -1.0762025 ]","[1.31385723 1.31385723 1.33966826 1.3133723  1.68540154 1.68540154
 1.80897482]",3.4699102431953652,3.5,10.46053290964695
841,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 5), (0, 6), (1, 2), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (4, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,5,3,59,27,32,7,0,7,False,"[ 3.82557312  1.2709055  -0.52279748 -2.         -1.57368113 -1.61803399
  0.61803399]","[1.42492739 1.71082989 1.90528805 1.5093761  1.5093761  1.68461384
 1.68461384]",3.463927179051658,3.5,11.429025210356524
842,"[0, 1, 2, 3, 4, 5, 6]","[(0, 2), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,5,3,61,28,33,7,1,6,False,"[ 3.84804907  1.15629417  0.7161509  -2.20406204 -1.65729331 -0.85913879
 -1.        ]","[1.5329915  1.44597594 1.50176723 1.69451532 1.69451532 1.67956596
 1.89165701]",3.469910243195365,3.5,11.44098828038876
843,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 4), (0, 6), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (4, 5)]",7,13,0.6190476190476191,5,False,False,False,False,False,False,5,3,55,26,29,7,2,5,False,"[ 3.8193892   1.50719452 -2.37858502  0.24489333 -1.         -1.19289202
 -1.        ]","[1.66705964 1.66705964 1.51031855 1.79487502 1.51841048 1.51031855
 1.47491221]",3.459844136454026,3.5,11.142954090448269
844,"[0, 1, 2, 3, 4, 5, 6]","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 6), (2, 3), (3, 4), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,4,3,66,30,36,7,2,5,True,"[ 3.76195019 -2.52383366 -2.          1.         -0.5932126  -0.
  0.35509607]","[1.49853759 1.49853759 1.21784836 1.65001466 1.65001466 1.21784836
 1.50129127]",3.4820508075688776,3.5,10.234092516791138
845,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (2, 5), (2, 6), (3, 4), (3, 5), (4, 5), (4, 6)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,5,3,64,30,34,7,3,4,False,"[ 3.75936551  1.2469796  -2.29291797 -1.80193774  0.63306471 -1.09951226
 -0.44504187]","[1.50907679 1.50907679 1.65267128 1.65059663 1.65267128 1.65059663
 1.65413024]",3.4820508075688776,3.5,11.278819655436816
846,"[0, 1, 2, 3, 4, 5, 6]","[(0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 6), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,4,3,65,32,33,7,4,3,True,"[ 3.75937569 -2.78908467  1.19116073 -1.2859748   0.12452305 -0.
 -1.        ]","[1.17182961 1.53445305 1.27382412 1.27382412 1.66171195 1.66171195
 1.57276414]",3.4820508075688776,3.5,10.150118951195772
847,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 3), (0, 4), (1, 2), (1, 4), (2, 3), (2, 5), (2, 6), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,5,3,65,30,35,7,2,5,True,"[ 3.78446646 -2.24177373 -2.          1.27197303 -0.          0.18533424
 -1.        ]","[1.35368743 1.35368743 1.4620198  1.4620198  1.55804103 1.64704601
 1.64704601]",3.488033871712585,3.5000000000000004,10.483547456415284
848,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 5), (0, 6), (1, 3), (1, 4), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 6), (4, 5), (5, 6)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,5,3,66,30,36,7,2,5,True,"[ 3.77845712  1.          0.71083145 -1.48928857 -2.         -2.
 -0.        ]","[1.4870926  1.4870926  1.71828049 1.57152787 1.57152787 1.57152787
 1.57152787]",3.488033871712585,3.5,10.978577143620155
849,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 5), (0, 6), (1, 3), (1, 4), (2, 3), (2, 4), (2, 5), (2, 6), (3, 5), (3, 6), (4, 5), (4, 6)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,4,3,69,33,36,7,4,3,True,"[ 3.77845712 -3.         -1.48928857  0.71083145 -0.          0.
  0.        ]","[1.15375927 1.15375927 1.71828049 1.23819453 1.23819454 1.23819453
 1.23819453]",3.488033871712585,3.5,8.978577143620159
850,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 2), (0, 4), (0, 5), (1, 2), (1, 3), (1, 6), (2, 3), (2, 6), (3, 4), (3, 5), (4, 6), (5, 6)]",7,13,0.6190476190476191,4,False,False,False,False,False,False,4,3,69,42,27,7,6,1,True,"[ 3.76436939 -3.25416947  0.          0.48980008 -1.         -0.
 -0.        ]","[1.14294374 1.56837868 1.56837868 1.14294372 0.97137522 0.97137522
 1.14294372]",3.482050807568878,3.5,8.508338943708925
851,"[0, 1, 2, 3, 4, 5, 6]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (3, 4), (4, 5)]",7,14,0.6666666666666666,6,False,False,False,False,False,False,4,3,85,42,43,8,0,8,False,"[ 4.47414776  0.50995143  0.32754901 -1.91190622 -1.39974198 -1.
 -1.        ]","[1.77736509 2.05231609 1.51009366 1.51009366 1.77736509 1.21600306
 0.78005976]",3.278172183487591,3.5,10.623296393025512
